all	60.1	2024
touching	62.3	236
behind	58.1	136
on	70.3	128
in front of	65.5	116
under	66.1	112
on top of	67.8	87
at the right side of	50.6	85
at the left side of	56.2	80
beneath	56.2	80
above	62.5	72
contains	50.9	57
in	58.8	51
facing	62.0	50
far away from	42.9	49
inside	55.1	49
below	52.4	42
next to	65.9	41
at the edge of	62.5	40
left of	56.4	39
beside	67.6	34
facing away from	50.0	32
away from	64.5	31
right of	54.2	24
far from	56.5	23
close to	57.1	21
part of	42.9	21
near	66.7	21
parallel to	47.4	19
at the back of	63.2	19
across from	44.4	18
over	56.2	16
in the middle of	53.3	15
off	46.7	15
alongside	85.7	14
attached to	75.0	12
surrounding	66.7	12
against	72.7	11
adjacent to	90.9	11
perpendicular to	63.6	11
consists of	55.6	9
by	55.6	9
at the side of	62.5	8
toward	71.4	7
within	50.0	6
into	33.3	6
outside	100.0	5
has as a part	60.0	5
opposite to	40.0	5
ahead of	50.0	4
beyond	25.0	4
connected to	75.0	4
across	50.0	4
with	66.7	3
past	50.0	2
out of	0.0	2
along	50.0	2
down	100.0	2
detached from	50.0	2
around	50.0	2
enclosed by	100.0	1
between	100.0	1
down from	0.0	1
