all	53.9	731
in front of	52.6	76
behind	49.3	71
far away from	36.8	57
at the left side of	71.9	32
next to	65.6	32
contains	55.2	29
touching	74.1	27
at the right side of	72.0	25
on	82.6	23
above	45.5	22
left of	54.5	22
on top of	85.0	20
under	40.0	20
below	66.7	18
in	75.0	16
parallel to	42.9	14
far from	42.9	14
facing	57.1	14
at the back of	35.7	14
across from	28.6	14
ahead of	61.5	13
away from	41.7	12
beside	25.0	12
adjacent to	58.3	12
right of	33.3	12
beneath	45.5	11
facing away from	50.0	10
inside	75.0	8
close to	37.5	8
beyond	66.7	6
alongside	50.0	6
off	33.3	6
surrounding	80.0	5
at the side of	50.0	4
opposite to	50.0	4
attached to	25.0	4
perpendicular to	25.0	4
has as a part	50.0	4
down from	50.0	4
part of	50.0	4
near	25.0	4
connected to	50.0	2
at the edge of	50.0	2
across	100.0	2
consists of	50.0	2
outside	0.0	2
in the middle of	0.0	2
along	50.0	2
within	50.0	2
against	100.0	2
