all	0.5914	2024
touching	0.6398	236
behind	0.5294	136
on	0.7188	128
in front of	0.5862	116
under	0.6250	112
on top of	0.7241	87
at the right side of	0.6353	85
at the left side of	0.5000	80
beneath	0.5875	80
above	0.5556	72
contains	0.5614	57
in	0.6078	51
facing	0.6000	50
far away from	0.4082	49
inside	0.5714	49
below	0.4762	42
next to	0.5366	41
at the edge of	0.5000	40
left of	0.5897	39
beside	0.7941	34
facing away from	0.5625	32
away from	0.4194	31
right of	0.5833	24
far from	0.4348	23
close to	0.7143	21
part of	0.4286	21
near	0.7619	21
parallel to	0.5263	19
at the back of	0.5263	19
across from	0.4444	18
over	0.8125	16
in the middle of	0.3333	15
off	0.2667	15
alongside	0.6429	14
attached to	0.7500	12
surrounding	0.5833	12
against	0.5455	11
adjacent to	0.7273	11
perpendicular to	0.3636	11
consists of	0.5556	9
by	0.5556	9
at the side of	0.5000	8
toward	0.7143	7
within	0.6667	6
into	0.5000	6
outside	0.8000	5
has as a part	0.8000	5
opposite to	0.6000	5
ahead of	0.2500	4
beyond	0.5000	4
connected to	1.0000	4
across	1.0000	4
with	1.0000	3
past	0.5000	2
out of	0.0000	2
along	0.5000	2
down	1.0000	2
detached from	0.5000	2
around	1.0000	2
enclosed by	1.0000	1
between	0.0000	1
down from	0.0000	1
