all	0.5280	731
in front of	0.5000	76
behind	0.5070	71
far away from	0.4035	57
at the left side of	0.5938	32
next to	0.8125	32
contains	0.4828	29
touching	0.5556	27
at the right side of	0.5200	25
on	0.7391	23
above	0.5455	22
left of	0.5455	22
on top of	0.8500	20
under	0.4500	20
below	0.6111	18
in	0.6250	16
parallel to	0.6429	14
far from	0.2857	14
facing	0.7143	14
at the back of	0.3571	14
across from	0.2857	14
ahead of	0.5385	13
away from	0.3333	12
beside	0.4167	12
adjacent to	0.5833	12
right of	0.5000	12
beneath	0.5455	11
facing away from	0.6000	10
inside	0.3750	8
close to	0.5000	8
beyond	0.3333	6
alongside	0.5000	6
off	0.1667	6
surrounding	0.4000	5
at the side of	0.5000	4
opposite to	0.5000	4
attached to	1.0000	4
perpendicular to	0.5000	4
has as a part	0.7500	4
down from	0.2500	4
part of	0.2500	4
near	0.7500	4
connected to	0.0000	2
at the edge of	0.5000	2
across	0.0000	2
consists of	1.0000	2
outside	0.5000	2
in the middle of	0.5000	2
along	0.0000	2
within	0.5000	2
against	1.0000	2
