all	71.2	2024
touching	73.7	236
behind	70.6	136
on	86.7	128
in front of	63.8	116
under	83.9	112
on top of	79.3	87
at the right side of	57.6	85
at the left side of	61.3	80
beneath	77.5	80
above	72.2	72
contains	86.0	57
in	84.3	51
facing	62.0	50
far away from	75.5	49
inside	79.6	49
below	66.7	42
next to	75.6	41
at the edge of	60.0	40
left of	59.0	39
beside	64.7	34
facing away from	46.9	32
away from	74.2	31
right of	58.3	24
far from	87.0	23
close to	71.4	21
part of	76.2	21
near	71.4	21
parallel to	57.9	19
at the back of	63.2	19
across from	66.7	18
over	93.8	16
in the middle of	33.3	15
off	40.0	15
alongside	85.7	14
attached to	91.7	12
surrounding	83.3	12
against	54.5	11
adjacent to	72.7	11
perpendicular to	36.4	11
consists of	88.9	9
by	55.6	9
at the side of	75.0	8
toward	28.6	7
within	66.7	6
into	50.0	6
outside	40.0	5
has as a part	60.0	5
opposite to	60.0	5
ahead of	50.0	4
beyond	75.0	4
connected to	100.0	4
across	50.0	4
with	66.7	3
past	0.0	2
out of	50.0	2
along	0.0	2
down	50.0	2
detached from	50.0	2
around	50.0	2
enclosed by	100.0	1
between	100.0	1
down from	0.0	1
