all	0.6156	731
in front of	0.5395	76
behind	0.6901	71
far away from	0.5965	57
at the left side of	0.5000	32
next to	0.6250	32
contains	0.7586	29
touching	0.7778	27
at the right side of	0.6800	25
on	0.7826	23
above	0.5909	22
left of	0.5455	22
on top of	0.9000	20
under	0.4500	20
below	0.6111	18
in	0.8750	16
parallel to	0.5000	14
far from	0.7143	14
facing	0.7857	14
at the back of	0.5000	14
across from	0.5714	14
ahead of	0.3846	13
away from	0.5000	12
beside	0.6667	12
adjacent to	0.3333	12
right of	0.5833	12
beneath	0.5455	11
facing away from	0.6000	10
inside	0.7500	8
close to	0.3750	8
beyond	0.6667	6
alongside	0.6667	6
off	0.5000	6
surrounding	0.6000	5
at the side of	0.5000	4
opposite to	0.5000	4
attached to	0.7500	4
perpendicular to	0.2500	4
has as a part	0.7500	4
down from	0.2500	4
part of	1.0000	4
near	0.2500	4
connected to	0.0000	2
at the edge of	0.5000	2
across	1.0000	2
consists of	0.5000	2
outside	1.0000	2
in the middle of	0.5000	2
along	0.5000	2
within	0.5000	2
against	0.5000	2
