all	55.1	2024
touching	55.9	236
behind	44.9	136
on	64.8	128
in front of	54.3	116
under	62.5	112
on top of	50.6	87
at the right side of	51.8	85
at the left side of	48.8	80
beneath	63.7	80
above	59.7	72
contains	56.1	57
in	68.6	51
facing	50.0	50
far away from	51.0	49
inside	59.2	49
below	59.5	42
next to	56.1	41
at the edge of	42.5	40
left of	56.4	39
beside	44.1	34
facing away from	56.2	32
away from	61.3	31
right of	50.0	24
far from	47.8	23
close to	57.1	21
part of	42.9	21
near	52.4	21
parallel to	31.6	19
at the back of	57.9	19
across from	66.7	18
over	50.0	16
in the middle of	46.7	15
off	33.3	15
alongside	71.4	14
attached to	50.0	12
surrounding	58.3	12
against	63.6	11
adjacent to	63.6	11
perpendicular to	72.7	11
consists of	77.8	9
by	55.6	9
at the side of	25.0	8
toward	42.9	7
within	16.7	6
into	66.7	6
outside	60.0	5
has as a part	60.0	5
opposite to	60.0	5
ahead of	75.0	4
beyond	0.0	4
connected to	100.0	4
across	50.0	4
with	100.0	3
past	50.0	2
out of	0.0	2
along	100.0	2
down	100.0	2
detached from	50.0	2
around	0.0	2
enclosed by	100.0	1
between	100.0	1
down from	100.0	1
