all	0.5075	731
in front of	0.4605	76
behind	0.4930	71
far away from	0.5789	57
at the left side of	0.5938	32
next to	0.4062	32
contains	0.4828	29
touching	0.5556	27
at the right side of	0.4400	25
on	0.5217	23
above	0.5455	22
left of	0.5909	22
on top of	0.4000	20
under	0.4500	20
below	0.6667	18
in	0.3750	16
parallel to	0.3571	14
far from	0.5714	14
facing	0.5000	14
at the back of	0.7143	14
across from	0.4286	14
ahead of	0.3077	13
away from	0.5000	12
beside	0.4167	12
adjacent to	0.8333	12
right of	0.5833	12
beneath	0.5455	11
facing away from	0.6000	10
inside	0.5000	8
close to	0.6250	8
beyond	0.3333	6
alongside	0.3333	6
off	0.6667	6
surrounding	0.4000	5
at the side of	0.7500	4
opposite to	0.2500	4
attached to	0.7500	4
perpendicular to	0.5000	4
has as a part	0.2500	4
down from	0.5000	4
part of	0.2500	4
near	0.7500	4
connected to	1.0000	2
at the edge of	0.0000	2
across	0.5000	2
consists of	0.5000	2
outside	0.5000	2
in the middle of	0.5000	2
along	0.5000	2
within	0.5000	2
against	0.5000	2
