relation	number	VisualBERT	LXMERT	ViLT	ViLT NLVR2	BLIP NLVR2
all	731	0.51	0.66	0.62	0.53	0.54
in front of	76	0.46	0.64	0.54	0.5	0.53
behind	71	0.49	0.79	0.69	0.51	0.49
far away from	57	0.58	0.6	0.6	0.4	0.37
at the left side of	32	0.59	0.72	0.5	0.59	0.72
next to	32	0.41	0.62	0.62	0.81	0.66
contains	29	0.48	0.86	0.76	0.48	0.55
touching	27	0.56	0.48	0.78	0.56	0.74
at the right side of	25	0.44	0.48	0.68	0.52	0.72
on	23	0.52	0.87	0.78	0.74	0.83
above	22	0.55	0.59	0.59	0.55	0.45
left of	22	0.59	0.86	0.55	0.55	0.55
on top of	20	0.4	0.8	0.9	0.85	0.85
under	20	0.45	0.6	0.45	0.45	0.4
below	18	0.67	0.61	0.61	0.61	0.67
in	16	0.38	0.88	0.88	0.62	0.75
parallel to	14	0.36	0.43	0.5	0.64	0.43
far from	14	0.57	0.71	0.71	0.29	0.43
facing	14	0.5	0.43	0.79	0.71	0.57
at the back of	14	0.71	0.64	0.5	0.36	0.36
across from	14	0.43	0.57	0.57	0.29	0.29
ahead of	13	0.31	0.54	0.38	0.54	0.62
away from	12	0.5	0.42	0.5	0.33	0.42
beside	12	0.42	0.42	0.67	0.42	0.25
adjacent to	12	0.83	0.67	0.33	0.58	0.58
right of	12	0.58	0.75	0.58	0.5	0.33
beneath	11	0.55	0.64	0.55	0.55	0.45
facing away from	10	0.6	0.7	0.6	0.6	0.5
inside	8	0.5	0.62	0.75	0.38	0.75
close to	8	0.62	0.5	0.38	0.5	0.38
beyond	6	0.33	0.67	0.67	0.33	0.67
alongside	6	0.33	0.67	0.67	0.5	0.5
off	6	0.67	0.5	0.5	0.17	0.33
surrounding	5	0.4	1.0	0.6	0.4	0.8
at the side of	4	0.75	0.5	0.5	0.5	0.5
opposite to	4	0.25	0.75	0.5	0.5	0.5
attached to	4	0.75	1.0	0.75	1.0	0.25
perpendicular to	4	0.5	0.25	0.25	0.5	0.25
has as a part	4	0.25	0.75	0.75	0.75	0.5
down from	4	0.5	0.5	0.25	0.25	0.5
part of	4	0.25	1.0	1.0	0.25	0.5
near	4	0.75	0.25	0.25	0.75	0.25
connected to	2	1.0	0.0	0.0	0.0	0.5
at the edge of	2	0.0	0.0	0.5	0.5	0.5
across	2	0.5	1.0	1.0	0.0	1.0
consists of	2	0.5	0.5	0.5	1.0	0.5
outside	2	0.5	0.5	1.0	0.5	0.0
in the middle of	2	0.5	1.0	0.5	0.5	0.0
along	2	0.5	0.5	0.5	0.0	0.5
within	2	0.5	0.5	0.5	0.5	0.5
against	2	0.5	1.0	0.5	1.0	1.0
